text@ipy1987m	@ipy1987m	233.544	238.144	и / оценивать что-то хорошо или плохо довольно странный разговор потому что мы-то смотрим из сейчас / как это очень
text@ipy1987m	@ipy1987m	238.408	242.144	очень эээ сложно предсказывать будущее / особенно если оно ещё не наступило
text@ipy1987m	@ipy1987m	242.51	243.197	вот как бы
text@ipy1987m	@ipy1987m	243.584	263.215	то есть / человек как-то меняется / но он как-то менялся всю дорогу и / технологии человека меняют всегда и технологические / особенности / они влияют на культуру постояннно / потому что у меня есть любимый пример / я не знаю насколько это правда / теоретики искусства меня могут поправить / но я слышал такую уличную легенду / что у фламандцев такие тёмные полотка / потому что у них не было голубых краски
text@ipy1987m	@ipy1987m	264.564	267.629	ну не было доступа // а у итальянцев был доступ к голубой краске???
text@ipy1987m	@ipy1987m	267.692	268.471	и поэтому
text@ipy1987m	@ipy1987m	268.691	278.005	в итальянском / значит / Ренессансе всё сияет / везде ??? лучи / а у фламандцев какие-то обрюзглые пьяные люди / в тёмных кабаках всё время играют в кости
text@ipy1987m	@ipy1987m	278.211	281.176	и там и там играли в кости в те... и бухали / и там и там
text@ipy1987m	@ipy1987m	281.503	284.31	но / у одних были такие краски / а у других были другие
text@ipy1987m	@ipy1987m	290.287	290.72	да
text@ipy1987m	@ipy1987m	292.005	292.457	конечно
text@ipy1987m	@ipy1987m	294.746	295.003	#ухмыляется#
text@ipy1987m	@ipy1987m	296.123	296.618	да-да
text@ipy1987m	@ipy1987m	303.578	304.041	да-да
text@ipy1987m	@ipy1987m	305.205	305.346	да
text@ipy1987m	@ipy1987m	305.498	305.734	но
text@ipy1987m	@ipy1987m	308.303	309.866	он уже меняет / то есть / эээ / есть 
text@ipy1987m	@ipy1987m	310.447	328.372	у... у... у... у Вастрика есть прекрасный пост / я приложу тоже / эээ / ссылку / нв... / в описании будет // про то что будущее фотографии - это код / так называется пост // там он много-много рассказывает про разные виды цифровой фотографии / про то что уже сейчас в огромном количестве случаев когда ты нажимаешь на кнопку на телефоне / та картинка которую ты получил / она не имеет никакого отношения с тем что в твоей кам... в камере
text@ipy1987m	@ipy1987m	328.745	340.621	она имеет отношение к реальности но там ещё есть очень-очень-очень много / алгоритмов которые поверх этого / значит / сделали так чтобы она выглядела так / как ты её осознаёшь в своём глазу потому что парадокс / и тут самое на самом деле интересное / это то / про что я сегодня на ТехТрейне говорил
text@ipy1987m	@ipy1987m	341.001	348.232	на самом деле / эээ / в фокусе / у тебя на сетчатке / примерно / эээ / пятирублёвая монета
text@ipy1987m	@ipy1987m	349.869	360.219	в каждый момент времени когда ты сфокусировался на какой-то точке пространства / чисто оптически / у тебя на сетчатке / в фокусе / очень маленький кусок изображения / всё остальное размыто
text@ipy1987m	@ipy1987m	360.648	371.989	но в твоём мозгу / бегают сигналы / которые создают у тебя ощущение / что то что ты видишь резкое и не перевёрнутое??? потому что на самом деле у тебя картинка ещё и перевёрнутая на сетчатке
text@ipy1987m	@ipy1987m	372.97	373.785	да да / и то
text@ipy1987m	@ipy1987m	374.655	378.114	да да / нет / надеваешь очки которые переворачивают картинку и через некоторое время человек адаптируется
text@ipy1987m	@ipy1987m	378.552	387.113	то есть / у нас и... уже внутри бежит алгоритм который обрабатывает за нас картинку и у нас есть какое-то представление о том как вы... выглядит мир / но это / представление существует в рамках нашей голове
text@ipy1987m	@ipy1987m	387.137	387.56	да да да
text@ipy1987m	@ipy1987m	388.127	388.36	ф...
text@ipy1987m	@ipy1987m	389.082	390.831	в... на биологическом уровне!
text@ipy1987m	@ipy1987m	391.099	392.144	это очень важно подчеркнуть
text@ipy1987m	@ipy1987m	392.477	403.292	и соответственно когда мы делаем / эээ / там современный какой-то эээ телефон в котором / другие алгоритмы бегут / поверх данных которые собрали с камер и дают тебе картинку которая в твоём мозгу похожа на ту картинку которую ты видишь
text@ipy1987m	@ipy1987m	404.067	409.144	эта как бы картинка имеет отношение к реальности но пародоксальным образом не к той реальности которую ты снимаешь а к той реальности которая в твоём мозгу
text@ipy1987m	@ipy1987m	410.549	413.914	и это / другой как бы уровень эээ вообще взаимодействия / мне кажется
text@ipy1987m	@ipy1987m	414.356	414.536	да
text@ipy1987m	@ipy1987m	417.725	418.402	можно не...
